group,type,specimen,strain,stress
F0,flat,1,2.797154,0.669983
F0,flat,1,2.968861,0.7003541
F0,flat,1,3.139307,0.7295169
F0,flat,1,3.310646,0.7581933
F0,flat,1,3.481708,0.7861909
F0,flat,1,3.652077,0.8133882
F0,flat,1,3.823723,0.840479
F0,flat,1,3.993708,0.8670904
F0,flat,1,4.165431,0.8929389
F0,flat,1,4.335493,0.9184509
F0,flat,1,4.5074,0.9432079
F0,flat,1,4.677738,0.9671988
F0,flat,1,4.849108,0.9908346
F0,flat,1,5.020323,1.014266
F0,flat,1,5.190692,1.037623
F0,flat,1,5.362231,1.060452
F0,flat,1,5.532138,1.083359
F0,flat,1,5.703661,1.10454
F0,flat,1,5.874339,1.125912
F0,flat,1,6.046015,1.146801
F0,flat,2,0.01850769,0.01723167
F0,flat,2,0.1454154,0.04817615
F0,flat,2,0.2742,0.08333795
F0,flat,2,0.4015231,0.1172133
F0,flat,2,0.5305385,0.1502913
F0,flat,2,0.6579077,0.1825056
F0,flat,2,0.7870769,0.2139937
F0,flat,2,0.914877,0.2455826
F0,flat,2,1.042815,0.2760663
F0,flat,2,1.1716,0.3068865
F0,flat,2,1.298785,0.3374082
F0,flat,2,1.427908,0.36727
F0,flat,2,1.555554,0.3970363
F0,flat,2,1.684369,0.4259652
F0,flat,2,1.812692,0.4550082
F0,flat,2,1.939877,0.483535
F0,flat,2,2.068969,0.5117311
F0,flat,2,2.196446,0.5395436
F0,flat,2,2.325692,0.5666932
F0,flat,2,2.453292,0.5938894
F0,flat,2,2.581538,0.6203768
F0,flat,2,2.710031,0.6466378
F0,flat,2,2.837354,0.6724328
F0,flat,2,2.966215,0.6977921
F0,flat,2,3.094123,0.7232065
F0,flat,2,3.223031,0.7480351
F0,flat,2,3.351123,0.7727953
F0,flat,2,3.478569,0.797135
F0,flat,2,3.607507,0.8213353
F0,flat,2,3.734831,0.8453767
F0,flat,2,3.864,0.8687497
F0,flat,2,3.991985,0.892099
F0,flat,2,4.119969,0.9148218
F0,flat,2,4.248415,0.9357504
F0,flat,2,4.375938,0.9572687
F0,flat,2,4.504954,0.9785361
F0,flat,2,4.632507,0.9998305
F0,flat,2,4.761446,1.020802
F0,flat,2,4.889692,1.041749
F0,flat,2,5.017185,1.061956
F0,flat,2,5.145738,1.081622
F0,flat,2,5.2736,1.100131
F0,flat,2,5.402277,1.118947
F0,flat,2,5.530416,1.137573
F0,flat,2,5.658538,1.155712
F0,flat,2,5.786723,1.17362
F0,flat,2,5.914554,1.191163
F0,flat,2,6.043369,1.208048
F0,flat,2,6.171154,1.224329
F0,flat,2,6.300062,1.236841
F0,flat,2,6.427923,1.248416
F0,flat,2,6.555754,1.262118
F0,flat,2,6.684462,1.276174
F0,flat,2,6.811907,1.290184
F0,flat,2,6.941046,1.303812
F0,flat,2,7.0688,1.317194
F0,flat,2,7.197046,1.330036
F0,flat,2,7.325492,1.342573
F0,flat,2,7.452969,1.354884
F0,flat,2,7.582062,1.367051
F0,flat,2,7.709431,1.379481
F0,flat,2,7.838523,1.391116
F0,flat,2,7.966585,1.402237
F0,flat,2,8.094338,1.411681
F0,flat,2,8.222969,1.421732
F0,flat,2,8.350292,1.431677
F0,flat,2,8.479538,1.441351
F0,flat,2,8.607139,1.449913
F0,flat,2,8.735692,1.457461
F0,flat,2,8.864061,1.462985
F0,flat,2,8.991277,1.46101
F0,flat,2,9.120569,1.462608
F0,flat,2,9.247939,1.456419
F0,flat,2,9.376907,1.437525
F0,flat,2,9.505,1.407724
F0,flat,2,9.632677,1.340824
F0,flat,2,9.720877,0.03077705
F0,flat,2,9.722692,0.0222332
F0,flat,2,9.718769,0.02239077
F0,flat,2,9.716969,0.02205038
F0,flat,2,9.716538,0.02187923
F0,flat,2,9.716508,0.02184603
F0,flat,2,9.716461,0.02193577
F0,flat,2,9.716461,0.02193359
F0,flat,2,9.716461,0.02191064
F0,flat,2,9.716508,0.02185013
F0,flat,2,9.716508,0.02178244
F0,flat,2,9.716508,0.02190449
F0,flat,2,9.716508,0.02193192
F0,flat,2,9.716508,0.02182436
F0,flat,2,9.716538,0.02182795
F0,flat,2,9.716538,0.02186513
F0,flat,2,9.716584,0.02184346
F0,flat,2,9.716616,0.02185692
F0,flat,2,9.716661,0.02183333
F0,flat,2,9.716692,0.0218218
F0,flat,2,9.716739,0.02181821
F0,flat,2,9.716739,0.02185641
F0,flat,2,9.716769,0.02184987
F0,flat,2,9.716769,0.02181192
F0,flat,2,9.716769,0.02184333
F0,flat,2,9.716769,0.02183282
F0,flat,2,9.716769,0.02183231
F0,flat,2,9.716769,0.02181705
F0,flat,2,9.716769,0.02182487
F0,flat,2,9.716769,0.02182551
F0,flat,2,9.716769,0.02182756
F0,flat,2,9.716769,0.02183051
F0,flat,2,9.716769,0.02182897
F0,flat,2,9.716769,0.02182936
F0,flat,2,9.716769,0.02182039
F0,flat,2,9.716769,0.02183026
F0,flat,2,9.716769,0.02182654
F0,flat,2,9.716769,0.02179269
F0,flat,2,9.716769,0.02185679
F0,flat,2,9.716769,0.02183654
F0,flat,2,9.716769,0.02177551
F0,flat,2,9.716769,0.02184846
F0,flat,2,9.716769,0.02183872
F0,flat,2,9.716769,0.02179603
F0,flat,2,9.716769,0.02182782
F0,flat,2,9.716769,0.02184346
F0,flat,2,9.716769,0.02180577
F0,flat,2,9.716769,0.02181167
F0,flat,2,9.716769,0.02184974
F0,flat,2,9.716769,0.02181179
F0,flat,2,9.716769,0.02181179
F0,flat,2,9.716769,0.02183282
F0,flat,2,9.716769,0.02181487
F0,flat,2,9.716769,0.02180615
F0,flat,2,9.716769,0.02183474
F0,flat,2,9.716769,0.02182039
F0,flat,2,9.716769,0.02179679
F0,flat,2,9.716769,0.02183603
F0,flat,2,9.716769,0.02182885
F0,flat,2,9.716769,0.02180282
F0,flat,2,9.716769,0.02182244
F0,flat,2,9.716769,0.02181936
F0,flat,2,9.716769,0.02180654
F0,flat,2,9.716769,0.0218218
F0,flat,2,9.716769,0.02180769
F0,flat,2,9.716769,0.02180269
F0,flat,2,9.716769,0.0218241
F0,flat,2,9.716769,0.02182154
F0,flat,2,9.716769,0.02180603
F0,flat,2,9.716769,0.02181782
F0,flat,2,9.716769,0.02182141
F0,flat,2,9.716769,0.02180256
F0,flat,2,9.716769,0.02181667
F0,flat,2,9.716769,0.02181577
F0,flat,2,9.716769,0.02180936
F0,flat,2,9.716769,0.02180718
F0,flat,2,9.716769,0.02180731
F0,flat,2,9.716769,0.02181577
F0,flat,2,9.716769,0.02180577
F0,flat,2,9.716769,0.0218259
F0,flat,2,9.716769,0.02181077
F0,flat,2,9.716769,0.02181949
F0,flat,2,9.716769,0.02180974
F0,flat,2,9.716769,0.02181231
F0,flat,2,9.716769,0.02181936
F0,flat,2,9.716769,0.02181308
F0,flat,2,9.716769,0.02180795
F0,flat,3,0.004723077,0.008918077
F0,flat,3,0.07956923,0.01391974
F0,flat,3,0.1714923,0.03758756
F0,flat,3,0.2595385,0.06462538
F0,flat,3,0.3448615,0.08937282
F0,flat,3,0.4296,0.1128823
F0,flat,3,0.5153077,0.1353949
F0,flat,3,0.6010923,0.1575596
F0,flat,3,0.6864462,0.1795779
F0,flat,3,0.7712,0.20125
F0,flat,3,0.8575846,0.2225579
F0,flat,3,0.9430307,0.2439517
F0,flat,3,1.028,0.2650314
F0,flat,3,1.113292,0.2856249
F0,flat,3,1.199646,0.3058115
F0,flat,3,1.284892,0.3259563
F0,flat,3,1.369631,0.3456373
F0,flat,3,1.455831,0.3647958
F0,flat,3,1.541385,0.3841458
F0,flat,3,1.626523,0.403415
F0,flat,3,1.711415,0.4222928
F0,flat,3,1.797615,0.4408136
F0,flat,3,1.8832,0.4592688
F0,flat,3,1.967908,0.4773965
F0,flat,3,2.053662,0.495008
F0,flat,3,2.139554,0.5125081
F0,flat,3,2.224908,0.5298876
F0,flat,3,2.309615,0.5466948
F0,flat,3,2.396092,0.5630008
F0,flat,3,2.481723,0.5792777
F0,flat,3,2.566462,0.5951814
F0,flat,3,2.6516,0.6106344
F0,flat,3,2.738138,0.6260225
F0,flat,3,2.823385,0.6414123
F0,flat,3,2.908062,0.6565247
F0,flat,3,2.994369,0.6713331
F0,flat,3,3.079769,0.6862801
F0,flat,3,3.164908,0.7010235
F0,flat,3,3.249985,0.7153825
F0,flat,3,3.336308,0.7294139
F0,flat,3,3.421739,0.743257
F0,flat,3,3.506446,0.7569326
F0,flat,3,3.592354,0.7703871
F0,flat,3,3.678092,0.7839702
F0,flat,3,3.763416,0.7974578
F0,flat,3,3.8482,0.8107588
F0,flat,3,3.934662,0.823659
F0,flat,3,4.020061,0.8366907
F0,flat,3,4.105,0.8495865
F0,flat,3,4.190323,0.8621495
F0,flat,3,4.276523,0.8747637
F0,flat,3,4.361815,0.8875745
F0,flat,3,4.446554,0.9001855
F0,flat,3,4.532723,0.9125782
F0,flat,3,4.6182,0.9251114
F0,flat,3,4.703523,0.937587
F0,flat,3,4.788492,0.9498308
F0,flat,3,4.874815,0.9618003
F0,flat,3,4.960169,0.9738822
F0,flat,3,5.044954,0.9858013
F0,flat,3,5.130969,0.997566
F0,flat,3,5.216661,1.009413
F0,flat,3,5.301877,1.02115
F0,flat,3,5.386693,1.032698
F0,flat,3,5.473169,1.043987
F0,flat,3,5.558677,1.055321
F0,flat,3,5.643384,1.06664
F0,flat,3,5.728939,1.077658
F0,flat,3,5.814831,1.088575
F0,flat,3,5.900385,1.09956
F0,flat,3,5.985323,1.110466
F0,flat,3,6.071062,1.121245
F0,flat,3,6.156923,1.132176
F0,flat,3,6.241969,1.143089
F0,flat,3,6.326877,1.153564
F0,flat,3,6.413354,1.163638
F0,flat,3,6.498507,1.171928
F0,flat,3,6.5838,1.177562
F0,flat,3,6.669277,1.186937
F0,flat,3,6.755092,1.196645
F0,flat,3,6.840415,1.206303
F0,flat,3,6.925123,1.215762
F0,flat,3,7.011708,1.225128
F0,flat,3,7.097138,1.23474
F0,flat,3,7.181969,1.244208
F0,flat,3,7.267292,1.253497
F0,flat,3,7.353446,1.262369
F0,flat,3,7.438923,1.271635
F0,flat,3,7.523631,1.280797
F0,flat,3,7.609831,1.2893
F0,flat,3,7.695231,1.297581
F0,flat,3,7.7804,1.306099
F0,flat,3,7.865416,1.314479
F0,flat,3,7.951923,1.322783
F0,flat,3,8.037169,1.331295
F0,flat,3,8.121799,1.339607
F0,flat,3,8.208046,1.347005
F0,flat,3,8.293708,1.354665
F0,flat,3,8.378877,1.362516
F0,flat,3,8.463738,1.370091
F0,flat,3,8.550092,1.376437
F0,flat,3,8.63557,1.382328
F0,flat,3,8.720354,1.389265
F0,flat,3,8.806061,1.396029
F0,flat,3,8.891984,1.402745
F0,flat,3,8.977231,1.408246
F0,flat,3,9.062016,1.413484
F0,flat,3,9.148446,1.419059
F0,flat,3,9.233892,1.425284
F0,flat,3,9.31883,1.430906
F0,flat,3,9.404061,1.436779
F0,flat,3,9.4902,1.443231
F0,flat,3,9.575708,1.45
F0,flat,3,9.660369,1.456482
F0,flat,3,9.746508,1.462314
F0,flat,3,9.832247,1.468411
F0,flat,3,9.917292,1.474514
F0,flat,3,10.00205,1.480308
F0,flat,3,10.08866,1.485679
F0,flat,3,10.17422,1.491036
F0,flat,3,10.25892,1.495583
F0,flat,3,10.34455,1.499001
F0,flat,3,10.43034,1.498932
F0,flat,3,10.51581,1.499721
F0,flat,3,10.60045,1.502308
F0,flat,3,10.68703,1.504898
F0,flat,3,10.77246,1.508412
F0,flat,3,10.85732,1.510801
F0,flat,3,10.94272,1.509838
F0,flat,3,11.02885,1.504245
F0,flat,3,11.1142,1.46857
F0,flat,3,11.19888,1.397009
F0,flat,3,11.28508,1.322845
F0,flat,3,11.37055,1.280532
F0,flat,3,11.45599,1.219713
F0,flat,3,11.54085,1.075775
F0,flat,3,11.60405,0.2275714
F0,flat,3,11.60997,0.05270039
F0,flat,3,11.60923,0.0523768
F0,flat,3,11.60609,0.05266359
F0,flat,3,11.60412,0.05232051
F0,flat,3,11.60363,0.05232166
F0,flat,3,11.60348,0.05234205
F0,flat,3,11.60345,0.0523691
F0,flat,3,11.60345,0.05236167
F0,flat,3,11.60345,0.05236603
F0,flat,3,11.60345,0.05228
F0,flat,3,11.60345,0.05221667
F0,flat,3,11.60345,0.05238103
F0,flat,3,11.60345,0.05227961
F0,flat,3,11.60345,0.05233308
F0,flat,3,11.60345,0.0522409
F0,flat,3,11.60345,0.05228295
F0,flat,3,11.60345,0.05226077
F0,flat,3,11.60345,0.05231346
F0,flat,3,11.60345,0.05227077
F0,flat,3,11.60345,0.0522591
F0,flat,3,11.60345,0.05226833
F0,flat,3,11.60345,0.05224923
F0,flat,3,11.60348,0.05229423
F0,flat,3,11.60348,0.05224833
F0,flat,3,11.60348,0.05227321
F0,flat,3,11.60348,0.05223154
F0,flat,3,11.60348,0.05227705
F0,flat,3,11.60348,0.0522459
F0,flat,3,11.60348,0.05227115
F0,flat,3,11.60351,0.05224641
F0,flat,3,11.60351,0.0522509
F0,flat,3,11.60351,0.05224846
F0,flat,3,11.60355,0.0522441
F0,flat,3,11.60355,0.05226654
F0,flat,3,11.60355,0.05224346
