group,type,amplitude_mm,n_specimens,mean_strength_MPa,sd_strength_MPa,cv_pct,failure_mode,type_color
F0,flat,0,3,1.36,0.21794494717703364,16.02536376301718,,#9E9E9E
F1,flat,0,5,1.1600000000000001,0.22461077445216207,19.362997797600176,,#9E9E9E
N1,sinusoidal,1.2,5,1.916,0.23522329816580673,12.276790092161104,,#2196F3
N2,sinusoidal,1.8,3,1.5099999999999998,0.11357816691600557,7.521732908344742,,#2196F3
N3,sinusoidal,2.4,5,2.3779999999999997,0.20861447696648472,8.772686163435019,,#2196F3
S1,sawtooth,1.2,5,1.902,0.21856349191939628,11.49124563193461,,#FF5722
S2,sawtooth,1.8,4,1.9875,0.15777093099385162,7.938160050005112,,#FF5722
S3,sawtooth,2.4,5,2.228,0.2006738647656939,9.006905958962921,,#FF5722
